CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0800501004,08005,004,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2017,17188,55237,34.6,2.6
0800501004,08005,004,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2016,16629,53134,34.8,2.7
0800501004,08005,004,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2015,17216,53866,36,2.7
0800702001,08007,001,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2018,15256,41405,33,2.7
0800702001,08007,001,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2017,14401,39325,33.4,2.8
0800702001,08007,001,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2016,13820,38347,33.8,2.8
0800702001,08007,001,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2015,12894,36081,34.2,2.6
0801501001,08015,001,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,18821,47751,28.6,2.3
0801501001,08015,001,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,18324,46582,29.1,2.4
0801501001,08015,001,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,18145,46364,30.2,2.5
0801501001,08015,001,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,17616,44071,30.3,2.6
0801502010,08015,010,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,10136,26669,26.7,2.4
0801502010,08015,010,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,9848,26425,25.9,2.1
